"DMR","MethylDiff","AveExpr","t","P.Value","adj.P.Val","B","Contrast","healthy","nbl"
"7:157484875-157484929",-0.932566666666667,0.48005,-27.4171155400445,1.63526800703767e-06,0.000100387009011302,5.65241292001335,"healthy-all",0.0137666666666667,0.946333333333333
"1:16554402-16554459",-0.880066666666667,0.530433333333333,-27.3778878421389,1.64661562046204e-06,0.000100929768115109,5.64424547635823,"healthy-all",0.0904,0.970466666666667
"7:3083400-3083445",-0.906033333333333,0.453016666666667,-27.3662458117018,1.6500016148951e-06,0.000100983609473314,5.64181922422822,"healthy-all",0,0.906033333333333
"6:74024433-74024483",-0.741566666666666,0.591416666666667,-27.3515609347991,1.65428456949143e-06,0.000101092099996949,5.63875731805112,"healthy-all",0.220633333333333,0.9622
"11:2883698-2883770",-0.826366666666667,0.562816666666667,-27.2478668383732,1.68491198123128e-06,0.000102664109343293,5.61708820429295,"healthy-all",0.149633333333333,0.976
"10:88392026-88392094",-0.910933333333333,0.455466666666667,-27.2472111798339,1.68510780154247e-06,0.000102664109343293,5.61695092135549,"healthy-all",0,0.910933333333333
"17:17603643-17603700",-0.456666666666667,0.7237,-27.1801072899015,1.70529499653662e-06,0.000103737061639768,5.60288264326145,"healthy-all",0.495366666666667,0.952033333333333
"12:6184467-6184556",-0.910266666666666,0.487166666666667,-27.1600058641014,1.71139883493378e-06,0.000103951346126121,5.59866146142338,"healthy-all",0.0320333333333333,0.9423
"2:232526882-232526944",-0.9191,0.461283333333333,-27.1425943378364,1.71670716425921e-06,0.000104116738270908,5.59500255286163,"healthy-all",0.00173333333333333,0.920833333333333
"12:6882913-6882973",-0.873133333333333,0.524966666666667,-27.0615451205308,1.74167964069897e-06,0.000105472452346749,5.57793890379933,"healthy-all",0.0884,0.961533333333333
"5:172110966-172111013",-0.516166666666667,0.719983333333333,-27.0182304386182,1.75520494884708e-06,0.000106131919662193,5.56879818111352,"healthy-all",0.4619,0.978066666666667
"19:30713762-30713808",-0.9307,0.481416666666667,-26.9245538449751,1.78489140196924e-06,0.000107765159893108,5.54897808933958,"healthy-all",0.0160666666666667,0.946766666666667
"18:72191913-72191980",-0.502,0.710233333333333,-26.8310610641256,1.81512480389396e-06,0.000109426483499421,5.52912632376183,"healthy-all",0.459233333333333,0.961233333333333
"20:3052495-3052616",-0.927,0.4635,-26.7980546661891,1.82594541364454e-06,0.000109914271678444,5.52210099314852,"healthy-all",0,0.927
"19:52996475-52996577",-0.829733333333333,0.486133333333333,-26.7528486850921,1.84089184691346e-06,0.000110648590398585,5.51246461951148,"healthy-all",0.0712666666666667,0.901
"7:37392953-37393048",-0.9112,0.528133333333333,-26.6128566273336,1.88812148507761e-06,0.000113318241915887,5.48251700050534,"healthy-all",0.0725333333333333,0.983733333333333
"12:113515860-113515906",-0.690933333333333,0.617733333333333,-26.5212516879864,1.91981757742548e-06,0.000115049067947175,5.46283314228093,"healthy-all",0.272266666666667,0.9632
"14:105663219-105663292",-0.938266666666667,0.473566666666667,-26.5121429147568,1.92300420148419e-06,0.000115068799699807,5.46087206921749,"healthy-all",0.00443333333333333,0.9427
"10:77155864-77155930",-0.893433333333333,0.521716666666667,-26.4613997184119,1.94087334178454e-06,0.000115965742354607,5.44993468488256,"healthy-all",0.075,0.968433333333333
"4:191043189-191043226",-0.183766666666667,0.88015,-26.3775260351162,1.97084999784837e-06,0.000117528278145956,5.43180911187202,"healthy-all",0.788266666666667,0.972033333333333
"8:1649614-1649701",-0.956,0.478,-26.3719522864243,1.97286176222757e-06,0.000117528278145956,5.43060250600752,"healthy-all",0,0.956
"14:58863105-58863175",-0.864266666666667,0.449633333333333,-26.3299288310177,1.98810942912887e-06,0.000118219172511097,5.42149686078456,"healthy-all",0.0175,0.881766666666667
"2:121345268-121345302",-0.8712,0.460866666666667,-26.3238398759023,1.99033048502704e-06,0.000118219172511097,5.4201762733861,"healthy-all",0.0252666666666667,0.896466666666667
"1:19992124-19992185",-0.657866666666666,0.374166666666667,-26.2175204903376,2.02959847322872e-06,0.000120374020788504,5.3970670091791,"healthy-all",0.0452333333333333,0.7031
"9:140918306-140918367",-0.851433333333333,0.55155,-26.1028537288672,2.07300056780162e-06,0.000122767361567558,5.37203580501055,"healthy-all",0.125833333333333,0.977266666666667
"12:38553016-38553120",0.782433333333333,0.467283333333333,26.0329914145147,2.09999227151355e-06,0.000124183243415745,5.35673007401198,"healthy-all",0.8585,0.0760666666666667
"13:110436915-110436968",0.4628,0.2453,26.0033651717218,2.1115662676688e-06,0.000124684582353798,5.35022676205468,"healthy-all",0.4767,0.0139
"7:23245820-23245863",-0.855566666666666,0.532283333333333,-25.9089528598443,2.14896618183071e-06,0.000126707199280387,5.3294515595258,"healthy-all",0.1045,0.960066666666667
"10:105344631-105344692",-0.895266666666666,0.5349,-25.8428156998821,2.17564118449731e-06,0.000128092465118262,5.3148521590891,"healthy-all",0.0872666666666667,0.982533333333333
"14:69095026-69095081",-0.773833333333333,0.584916666666667,-25.8175704187445,2.18592840064623e-06,0.000128510252003539,5.30926935030322,"healthy-all",0.198,0.971833333333333
"2:240230808-240230882",0.8637,0.495983333333333,25.6676953193085,2.24822216686935e-06,0.000131979817612239,5.27601046377116,"healthy-all",0.927833333333333,0.0641333333333333
"19:1468221-1468265",-0.847466666666667,0.524066666666667,-25.5851944823391,2.28342504866253e-06,0.000133851252015558,5.25761802523957,"healthy-all",0.100333333333333,0.9478
"22:51042936-51043007",-0.699166666666667,0.634783333333333,-25.5332497975609,2.30593051531324e-06,0.000134974022939214,5.24600661907896,"healthy-all",0.2852,0.984366666666667
"19:1363130-1363189",-0.735933333333333,0.512833333333333,-25.5067820230708,2.31750063278733e-06,0.000135454380236543,5.24008090664545,"healthy-all",0.144866666666667,0.8808
"22:30476149-30476253",-0.782,0.5348,-25.4832932247554,2.32782713391901e-06,0.000135860763058047,5.23481688855053,"healthy-all",0.1438,0.9258
"5:175305736-175305806",-0.8609,0.507483333333333,-25.4268017568094,2.35289060146754e-06,0.000137124829828798,5.22213644892275,"healthy-all",0.0770333333333333,0.937933333333333
"16:3639229-3639299",-0.591866666666667,0.657466666666667,-25.3538591708115,2.38573552363517e-06,0.00013883808565363,5.20572075965674,"healthy-all",0.361533333333333,0.9534
"16:54967472-54967530",-0.861366666666667,0.557516666666667,-25.3435454482622,2.39042407798129e-06,0.000138910199198246,5.20339578064889,"healthy-all",0.126833333333333,0.9882
"10:126840374-126840422",-0.789466666666667,0.5655,-25.1557556782952,2.47776504907436e-06,0.000143778207912498,5.16089380734237,"healthy-all",0.170766666666667,0.960233333333333
"8:49309169-49309244",-0.774366666666666,0.555383333333333,-25.0839646844412,2.51216758704217e-06,0.000145564749493202,5.14456013693748,"healthy-all",0.1682,0.942566666666667
"1:1564794-1564856",-0.842166666666667,0.517883333333333,-25.0712138167958,2.51833787543888e-06,0.000145712621525573,5.14165412359601,"healthy-all",0.0968,0.938966666666667
"21:31865399-31865482",0.831633333333333,0.45495,25.0045800818353,2.55088126135005e-06,0.000147383844011231,5.12644331786822,"healthy-all",0.870766666666667,0.0391333333333333
"10:120353936-120353982",-0.794166666666666,0.589883333333333,-24.8945641894723,2.6057281159958e-06,0.000150337073007546,5.101238990662,"healthy-all",0.1928,0.986966666666667
